Code,Title
Ss_20_30_75_65,Precast reinforced concrete column systems
Ss_20_30_75_70,Reinforced concrete column systems
Ss_20_30_75_85,Timber column systems
Ss_20_40,Structural sheet and cable systems
Ss_20_40_10,Building cable systems
Ss_20_50,Bridge structure systems
Ss_20_50_10,Abutment systems
Ss_20_50_10_10,Bank seat abutments
Ss_20_50_10_30,Embedded retaining wall bridge abutments
Ss_20_50_10_40,Integral abutments
Ss_20_50_10_50,Masonry bridge abutments
Ss_20_50_10_70,Reinforced concrete bridge abutments
Ss_20_50_10_80,Sheet piled bridge abutments
Ss_20_50_10_85,Spill-through abutments
Ss_20_50_10_90,Tied embedded retaining wall bridge abutments
Ss_20_50_10_95,Wing wall systems
Ss_20_50_20,Bridge pier systems
Ss_20_50_20_50,Masonry bridge piers
Ss_20_50_20_70,Reinforced concrete bridge piers
Ss_20_50_25,Bridge deck systems
Ss_20_50_25_08,Box girder bridge deck systems
Ss_20_50_25_12,Composite steel and concrete bridge deck systems
Ss_20_50_25_15,Concrete half through deck systems
Ss_20_50_25_16,Concrete slab deck systems
Ss_20_50_25_30,Filler beam deck systems
Ss_20_50_25_31,Flat and stepped deck systems
Ss_20_50_25_53,Modular precast concrete deck systems
Ss_20_50_25_59,Orthotropic deck systems
Ss_20_50_25_65,Prestressed concrete beam deck systems
Ss_20_50_25_70,Reinforced concrete arch bridge systems
Ss_20_50_25_80,Solid steel slab systems
Ss_20_50_30,Abutment and pier component systems
Ss_20_50_30_11,Capping beam systems
Ss_20_50_30_37,Headwall systems
Ss_20_50_30_80,Spandrel arch wall systems
Ss_20_50_35,Bridge cable systems
Ss_20_50_35_11,Cable-stayed bridge cable systems
Ss_20_50_35_85,Suspension bridge cable systems
Ss_20_50_40,Bridge expansion joint systems
Ss_20_50_40_04,Asphaltic plug joint systems
Ss_20_50_40_09,Buried expansion joint systems
Ss_20_50_40_56,Nosing expansion joint systems with poured sealants
Ss_20_50_40_57,Nosing expansion joint systems with preformed compression seals
Ss_20_60,Retaining wall systems
Ss_20_60_30,Embedded retaining wall systems
Ss_20_60_30_03,Anchored steel sheet pile retaining wall systems
Ss_20_60_30_08,Bored king post retaining wall systems
Ss_20_60_30_13,Combi retaining wall systems
Ss_20_60_30_15,Contiguous pile retaining wall systems
Ss_20_60_30_24,Driven king post retaining wall systems
Ss_20_60_30_70,Reinforced concrete diaphragm retaining wall systems
Ss_20_60_30_80,Secant pile retaining wall systems
Ss_20_60_30_83,Slurry diaphragm retaining wall systems
Ss_20_60_30_85,Steel sheet pile retaining wall systems
Ss_20_60_30_92,Unreinforced concrete diaphragm retaining wall systems
Ss_20_60_35,Gravity retaining wall systems
Ss_20_60_35_10,Caged fill retaining wall systems
Ss_20_60_35_13,Concrete bagwork retaining wall systems
Ss_20_60_35_15,Crib retaining wall systems
Ss_20_60_35_25,Drystack masonry unit retaining wall systems
Ss_20_60_35_50,Masonry retaining wall systems
Ss_20_60_35_53,Mesh formwork and geogrid retaining wall systems
Ss_20_60_35_66,Precast concrete stem wall retaining wall systems
Ss_20_60_35_70,Reinforced concrete retaining wall systems
Ss_20_60_35_72,Reinforced earth retaining wall systems
Ss_20_60_35_90,Timber retaining wall systems
Ss_20_60_35_91,Tyre bale retaining wall systems
Ss_20_70,Structure covering and finishing systems
Ss_20_70_15,Concrete protection systems
Ss_20_70_65,Protective painting systems
Ss_20_70_80,Steel encasement systems
Ss_20_80,Structure accessory systems
Ss_20_80_60,Permanent formwork systems
Ss_20_95,Temporary structural systems
Ss_25,Wall and barrier systems
Ss_25_10,Framed wall systems
Ss_25_10_20,Curtain walling systems
Ss_25_10_20_85,Stick curtain walling systems
Ss_25_10_20_90,Unitized curtain walling systems
Ss_25_10_30,Framed partition systems
Ss_25_10_30_35,Gypsum board partition systems
Ss_25_10_30_70,Rigid sheet partition systems
Ss_25_10_32,Framed wall structure systems
Ss_25_10_32_03,Aluminium wall framing systems
Ss_25_10_32_35,Heavy steel wall framing systems
Ss_25_10_32_45,Light steel wall framing systems
Ss_25_10_32_58,Plastics wall framing systems
Ss_25_10_32_90,Timber wall framing systems
Ss_25_10_35,Framed glazed wall systems
Ss_25_10_35_35,Glazed screen systems
Ss_25_10_35_95,Vertical patent glazing systems
Ss_25_10_35_97,Window wall glazed screen systems
Ss_25_11,Monolithic wall structure systems
Ss_25_11_13,Cob wall systems
Ss_25_11_15,Concrete form masonry unit wall systems
Ss_25_11_16,Concrete wall systems
Ss_25_11_16_62,Post-tensioned concrete wall systems
Ss_25_11_16_65,Precast concrete wall systems
Ss_25_11_16_70,Reinforced concrete wall structure systems
Ss_25_11_16_80,Sprayed concrete wall structure systems
Ss_25_11_70,Rammed earth wall systems
Ss_25_11_70_55,Non-stabilized rammed earth wall systems
Ss_25_11_70_83,Stabilized rammed earth plinth systems
Ss_25_11_70_85,Stabilized rammed earth wall systems
Ss_25_11_90,Timber wall systems
Ss_25_11_90_15,Cross-laminated timber wall systems
Ss_25_11_90_96,Wood log wall systems
Ss_25_12,Panel wall structure systems
Ss_25_12_10,Brick panel wall systems
Ss_25_12_15,Concrete panel wall systems
Ss_25_12_15_05,Autoclaved aerated concrete (AAC) panel wall systems
Ss_25_12_15_15,Composite concrete panel wall systems
Ss_25_12_60,Panel enclosure systems
Ss_25_12_60_30,Fully-framed panel cubicle systems
Ss_25_12_60_60,Panel cubicle systems
Ss_25_12_60_65,Privacy screen systems
Ss_25_12_65,Partitioning systems
Ss_25_12_65_50,Media wall systems
Ss_25_12_65_55,Mesh panel partition systems
Ss_25_12_65_60,Plasterboard laminated partition systems
Ss_25_12_65_65,Panel partition systems
Ss_25_12_65_70,Relocatable partition and ceiling systems
Ss_25_12_65_75,Relocatable partition systems
Ss_25_12_65_85,Storage wall systems
Ss_25_12_70,Retractable partition systems
Ss_25_12_70_30,Fabric dividing partition systems
Ss_25_12_70_80,Sliding stacking panel partition systems
Ss_25_12_80,Structural glass wall systems
Ss_25_12_80_65,Point-fixed structural glass wall systems
Ss_25_12_80_83,Stacked structural glass wall systems
Ss_25_12_80_85,Suspended structural glass wall systems
Ss_25_12_85,Structural steel panel wall systems
Ss_25_12_85_60,Prefabricated metal wall systems
Ss_25_12_85_63,Profile metal sheet wall systems
Ss_25_13,Unit wall structure systems
Ss_25_13_05,Adobe block wall systems
Ss_25_13_24,Dry stone wall systems
Ss_25_13_33,Glass wall systems
Ss_25_13_33_33,Glass block wall systems
Ss_25_13_33_64,Prefabricated glass block wall systems
Ss_25_13_35,Gypsum block wall systems
Ss_25_13_45,Lead brick wall systems
Ss_25_13_50,Masonry wall systems
Ss_25_13_50_49,Masonry exposed feature systems
Ss_25_13_50_51,Masonry wall leaf systems
Ss_25_13_50_54,Masonry free-standing wall leaf systems
Ss_25_13_50_56,Masonry internal partition systems
Ss_25_13_70,Reinforced masonry wall systems
Ss_25_13_70_71,Reinforced masonry wall leaf systems
Ss_25_13_70_74,Reinforced masonry free-standing wall leaf systems
Ss_25_13_70_76,Reinforced masonry internal partition systems
Ss_25_13_85,Straw bale wall systems
Ss_25_13_85_30,Framed straw bale wall systems
Ss_25_13_85_95,Unframed straw bale wall systems
Ss_25_14,Fence systems
Ss_25_14_30,Framed fence systems
Ss_25_14_30_56,Natural stone fencing systems
Ss_25_14_55,Monolithic fence systems
Ss_25_14_63,"Post, rail and board fence systems"
Ss_25_14_63_06,Bespoke fencing systems
Ss_25_14_63_08,Board or palisade fencing systems
Ss_25_14_63_11,Carbon steel continuous bar fencing systems
Ss_25_14_63_51,Metal post and rail fencing systems
Ss_25_14_63_52,Metal vertical pale fencing systems
Ss_25_14_63_56,Natural hurdle fencing systems
Ss_25_14_63_62,Post and panel fencing systems
Ss_25_14_63_63,Post and rail fencing systems
Ss_25_14_63_64,Precast concrete palisade fencing systems
Ss_25_14_63_65,Precast concrete post and panel fencing systems
Ss_25_14_63_66,Precast concrete post and rail fencing systems
Ss_25_14_63_67,Prefabricated wood or plastics panel fencing systems
Ss_25_14_63_84,Steel hurdle fencing systems
Ss_25_14_63_85,Steel palisade panel fencing systems
Ss_25_14_63_86,Steel vertical bar fencing systems
Ss_25_14_63_95,Wood close boarded fencing systems
Ss_25_14_63_96,Wood palisade fencing systems
Ss_25_14_63_97,Wood post and rail fencing systems
Ss_25_14_63_98,Wrought iron panel fencing systems
Ss_25_14_67,"Post, wire and mesh fence systems"
Ss_25_14_67_12,Chain link fencing systems
Ss_25_14_67_14,Cleft chestnut pale fencing systems
Ss_25_14_67_15,Continuous mesh fencing systems
Ss_25_14_67_24,Dropper pattern strained wire fencing systems
Ss_25_14_67_27,Electric fencing systems
Ss_25_14_67_28,Electric security fencing systems
Ss_25_14_67_33,General pattern strained wire fencing systems
Ss_25_14_67_34,General pattern wire mesh fencing systems
Ss_25_14_67_51,Metal mesh panel fencing systems
Ss_25_14_67_70,Rope or chain fencing systems
Ss_25_14_67_80,Spring steel and high tensile wire mesh fencing systems
Ss_25_14_67_97,Wire fencing systems
Ss_25_15,Fixed pedestrian barrier systems
Ss_25_15_60,Pedestrian safety barrier and guarding systems
Ss_25_15_60_14,Composite barrier systems
Ss_25_15_60_15,Composite pedestrian parapet systems
Ss_25_15_60_16,Composite post and panel barrier systems
Ss_25_15_60_17,Composite post and rail barrier systems
Ss_25_15_60_18,Concrete post and rail barrier systems
Ss_25_15_60_37,Hoop barrier systems
Ss_25_15_60_52,Metal modular barrier systems
Ss_25_15_60_53,Metal pedestrian parapet systems
Ss_25_15_60_54,Metal post and mesh panel barrier systems
Ss_25_15_60_55,Metal post and panel barrier systems
Ss_25_15_60_56,Metal post and rail barrier systems
Ss_25_15_60_57,Metal vertical bar pedestrian guard rail systems
Ss_25_15_60_60,Pedestrian parapet systems
Ss_25_15_60_65,Post and panel barrier systems
Ss_25_15_60_66,Post and rail barrier systems
Ss_25_15_60_67,Post and rope barrier systems
Ss_25_15_60_68,Post and wire barrier systems
Ss_25_15_60_96,Wood post and panel barrier systems
Ss_25_15_60_97,Wood post and rail barrier systems
Ss_25_15_85,Sports barrier systems
Ss_25_15_85_55,Multi-use games fencing systems
Ss_25_16,Fixed traffic and protective barrier systems
Ss_25_16_04,Artificial reef systems
Ss_25_16_05,Avalanche and snow barrier systems
Ss_25_16_08,Blast barrier systems
Ss_25_16_08_44,Jet blast deflection systems
Ss_25_16_21,Debris flow barrier systems
Ss_25_16_46,Landslide barrier systems
Ss_25_16_50,"Coastal, river and waterways protection systems"
Ss_25_16_50_72,Rock armour systems
Ss_25_16_50_77,Scouring protection systems
Ss_25_16_50_80,Sea wall systems
Ss_25_16_50_82,Splash deck systems
Ss_25_16_50_84,Splash wall systems
Ss_25_16_73,Road and rail barrier systems
Ss_25_16_73_03,Acoustic barrier systems
Ss_25_16_73_05,Anti-throw barrier systems
Ss_25_16_73_26,Environment protection screen systems
Ss_25_16_73_79,Sight barrier systems
Ss_25_16_73_80,Socket for temporary barrier systems
Ss_25_16_76,Rockfall barrier systems
Ss_25_16_94,Vehicle restraint systems
Ss_25_16_94_10,Bollard systems
Ss_25_16_94_14,Combined metal and concrete vehicle safety parapet systems
Ss_25_16_94_16,Concrete safety barrier (CSB) systems
Ss_25_16_94_44,Low-speed precast concrete safety parapet (PCONC) systems
Ss_25_16_94_46,Low-speed masonry safety parapet (PMAS) systems
Ss_25_16_94_48,Low-speed metal vehicle safety parapet systems
Ss_25_16_94_50,Metal vehicle safety fence systems
Ss_25_16_94_65,Protective rail systems
Ss_25_16_94_95,Vehicle safety control systems
Ss_25_16_94_96,Vehicle security barrier systems
Ss_25_16_94_97,Wire rope safety fence (WRSF) systems
Ss_25_17,Dam and levee structure systems
Ss_25_17_05,Arch dam systems
Ss_25_17_10,Buttress dam systems
Ss_25_17_25,Embankment dam and levee systems
Ss_25_17_35,Gravity dam systems
Ss_25_20,Wall cladding systems
Ss_25_20_08,Board cladding systems
Ss_25_20_08_95,Weatherboarding systems
Ss_25_20_14,Composite panel cladding systems
Ss_25_20_14_10,Built-up metal insulating sandwich panel cladding systems
Ss_25_20_14_52,Metal composite panel cladding systems
Ss_25_20_14_54,Metal insulating sandwich panel cladding systems
Ss_25_20_14_55,Metal semi-composite panel cladding systems
Ss_25_20_15,Concrete cladding systems
Ss_25_20_15_16,Concrete panel cladding systems
Ss_25_20_33,Glass fibre-reinforced concrete (GRC) cladding systems
Ss_25_20_33_35,GRC cladding systems
Ss_25_20_34,Glass fibre-reinforced gypsum (GRG) cladding systems
Ss_25_20_34_35,GRG cladding systems
Ss_25_20_35,Glass fibre-reinforced plastics (GRP) cladding systems
Ss_25_20_35_35,GRP cladding systems
Ss_25_20_50,Metal sheet fully supported wall-covering systems
Ss_25_20_50_05,Aluminium sheet fully supported wall-covering systems
Ss_25_20_50_11,Carbon steel sheet fully supported wall-covering systems
Ss_25_20_50_15,Copper sheet fully supported wall-covering systems
Ss_25_20_50_45,Lead sheet fully supported wall-covering systems
Ss_25_20_50_50,Lead-wrapped panel cladding systems
Ss_25_20_50_85,Stainless steel sheet fully supported wall-covering systems
Ss_25_20_50_95,Zinc sheet fully supported wall-covering systems
Ss_25_20_60,Panel and sheet cladding systems
Ss_25_20_68,Profiled sheet self-supporting cladding systems
Ss_25_20_68_30,Fibre cement profiled sheet self-supporting cladding systems
Ss_25_20_68_50,Metal profiled sheet self-supporting cladding systems
Ss_25_20_68_65,Plastics profiled sheet self-supporting cladding systems
Ss_25_20_70,Rainscreen cladding systems
Ss_25_20_70_25,Drained and back-ventilated rainscreen cladding systems
Ss_25_20_70_65,Pressure equalized rainscreen cladding systems
Ss_25_20_72,Sheet cladding systems
Ss_25_20_72_72,Rigid sheet cladding systems
Ss_25_20_85,Stone cladding systems
Ss_25_20_85_50,Manufactured stone cladding systems
Ss_25_20_85_55,Natural stone slab cladding systems
Ss_25_20_90,Unit cladding systems
Ss_25_20_90_13,Clay plain tile cladding systems
Ss_25_20_90_15,Concrete plain tile cladding systems
Ss_25_20_90_30,Fibre cement slate cladding systems
Ss_25_20_90_50,Metal tile cladding systems
Ss_25_20_90_55,Natural slate cladding systems
Ss_25_20_90_65,Precast concrete panel cladding systems
Ss_25_20_90_95,Wood shingle or shake cladding systems
Ss_25_25,Wall lining systems
Ss_25_25_05,Acoustic panel systems
Ss_25_25_45,Lining and casing systems
Ss_25_25_45_25,Duct and wall panel lining systems
Ss_25_25_45_33,Gypsum board casing systems
Ss_25_25_45_35,Gypsum board wall lining systems
Ss_25_25_45_47,Linear wall lining systems
Ss_25_25_45_50,Metal framed wall lining systems
Ss_25_25_45_68,Rigid sheet casing systems
Ss_25_25_45_70,Rigid sheet wall lining systems
Ss_25_25_45_88,Timber board casing systems
Ss_25_25_45_90,Timber board wall lining systems
Ss_25_25_70,Radiation shielding lining systems
Ss_25_25_75,Rigid sheet fine lining and panelling systems
Ss_25_25_75_05,Acoustic panel lining systems
Ss_25_25_75_63,Plastics panel lining systems
Ss_25_25_75_65,Plastics veneered panel lining systems
Ss_25_25_75_85,Specialist faced panel lining systems
Ss_25_25_75_94,Wood panel lining systems
Ss_25_25_75_95,Wood veneered panel lining systems
Ss_25_25_85,Stone lining systems
Ss_25_25_85_50,Manufactured stone lining systems
Ss_25_25_85_55,Natural stone lining systems
Ss_25_25_95,Wall sheathing systems
Ss_25_25_95_28,External wall sheathing systems
Ss_25_30,Door and window systems
Ss_25_30_15,Concrete wall glazing systems
Ss_25_30_15_66,Precast concrete security window systems
Ss_25_30_20,"Door, shutter and hatch systems"
Ss_25_30_20_16,Collapsible gate and grille doorset systems
Ss_25_30_20_22,Door assembly systems
Ss_25_30_20_25,Doorset systems
Ss_25_30_20_30,Frame and door leaf systems
Ss_25_30_20_32,Frameless glass door systems
Ss_25_30_20_35,Hatch systems
Ss_25_30_20_37,High-security doorset systems
Ss_25_30_20_38,High-speed doorset systems
Ss_25_30_20_39,Hinged doorset systems
Ss_25_30_20_40,Industrial doorset systems
Ss_25_30_20_45,Loading bay doorset systems
Ss_25_30_20_46,Louvre doorset systems
Ss_25_30_20_62,Pivot doorset systems
Ss_25_30_20_65,Platform door systems
Ss_25_30_20_70,Revolving doorset systems
Ss_25_30_20_73,Roller grille doorset systems
Ss_25_30_20_74,Roller shutter doorset systems
Ss_25_30_20_76,Sectional overhead doorset systems
Ss_25_30_20_77,Sliding doorset systems
Ss_25_30_20_78,Sliding folding doorset systems
Ss_25_30_20_84,Strip curtain doorset systems
Ss_25_30_20_93,Up-and-over doorset systems
Ss_25_30_29,Fire and smoke curtain systems
Ss_25_30_29_30,Fire curtain systems
Ss_25_30_29_80,Smoke curtain systems
Ss_25_30_95,Window and window walling systems
Ss_25_30_95_95,Window systems
Ss_25_30_95_96,Window walling systems
Ss_25_32,Gate and access control systems
Ss_25_32_35,Gate systems
Ss_25_32_35_05,Animal gate systems
Ss_25_32_35_15,Chicane systems
Ss_25_32_35_30,Folding gate systems
Ss_25_32_35_37,Hinged gate systems
Ss_25_32_35_41,In-line inhibitor systems
Ss_25_32_35_45,Kissing gate systems
Ss_25_32_35_80,Sliding gate systems
Ss_25_32_35_85,Stile systems
Ss_25_32_35_90,Turnstile systems
Ss_25_32_60,Access control gate systems
Ss_25_32_60_15,Controlled pedestrian access gate systems
Ss_25_32_60_26,e-passport gate systems
Ss_25_32_60_60,Passport gate systems
Ss_25_32_70,Railway platform automated barrier systems
Ss_25_36,Operable barrier systems
Ss_25_36_24,Dry dock automated gate systems
Ss_25_36_30,Flood and storm surge barrier systems
Ss_25_36_30_30,Flood gate systems
Ss_25_36_50,Marina and sea gate automated systems
Ss_25_36_58,Operable rail barrier systems
Ss_25_36_62,Operable water barrier systems
Ss_25_36_62_47,Lock gate systems
Ss_25_36_62_96,Water control gate systems
Ss_25_36_64,Operable bridge barrier systems
Ss_25_36_66,Operable tunnel barrier systems
Ss_25_36_70,Railway crossing systems
Ss_25_36_95,Vehicle access point control systems
Ss_25_36_95_05,Automated heavy-duty gate systems
Ss_25_36_95_35,Heavy-duty sliding beam barrier systems
Ss_25_36_95_36,Height restrictor systems
Ss_25_36_95_38,Horizontal swing gate systems
Ss_25_36_95_40,Hydraulic ramp systems
Ss_25_36_95_50,Movable bollard and car park post systems
Ss_25_36_95_70,Rising arm barrier systems
Ss_25_36_95_72,Rising bollard systems
Ss_25_36_95_85,Static bollard systems
Ss_25_36_95_94,Vehicle flow plate systems
Ss_25_36_95_96,Vehicle stop systems
Ss_25_38,Wall and barrier opening hardware systems
Ss_25_38_10,Barrier and gate control systems
Ss_25_38_10_33,Gate hardware systems
Ss_25_38_10_95,Water control gate displacer systems
Ss_25_38_20,Door and window hardware systems
Ss_25_38_20_20,Door hardware systems
Ss_25_38_20_30,Garage door hardware systems
Ss_25_38_20_35,Hatch hardware systems
Ss_25_38_20_70,Relocatable partition hardware systems
Ss_25_38_20_80,Shutter hardware systems
Ss_25_38_20_95,Window hardware systems
Ss_25_45,Wall covering and finish systems
Ss_25_45_02,Acoustic covering systems
Ss_25_45_12,Cavity wall insulation systems
